movieId,title,genres
19,Ace Ventura: When Nature Calls (1995),Comedy
152,"Addiction, The (1995)",Drama|Horror
149,Amateur (1994),Crime|Drama|Thriller
146,"Amazing Panda Adventure, The (1995)",Adventure|Children
11,"American President, The (1995)",Comedy|Drama|Romance
85,Angels and Insects (1995),Drama|Romance
116,Anne Frank Remembered (1995),Documentary
82,Antonia's Line (Antonia) (1995),Comedy|Drama
150,Apollo 13 (1995),Adventure|Drama|IMAX
23,Assassins (1995),Action|Crime|Thriller
148,"Awfully Big Adventure, An (1995)",Drama
34,Babe (1995),Children|Drama
217,"Babysitter, The (1995)",Drama|Thriller
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
13,Balto (1995),Adventure|Animation|Children
147,"Basketball Diaries, The (1995)",Drama
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
94,Beautiful Girls (1996),Comedy|Drama|Romance
154,Beauty of the Day (Belle de jour) (1967),Drama
74,Bed of Roses (1996),Drama|Romance
215,Before Sunrise (1995),Drama|Romance
113,Before and After (1996),Drama|Mystery
214,Before the Rain (Pred dozhdot) (1994),Drama|War
155,Beyond Rangoon (1995),Adventure|Drama|War
75,Big Bully (1996),Comedy|Drama
54,"Big Green, The (1995)",Children|Comedy
216,Billy Madison (1995),Comedy
65,Bio-Dome (1996),Comedy
141,"Birdcage, The (1996)",Comedy
88,Black Sheep (1996),Comedy
156,Blue in the Face (1995),Comedy|Drama
122,Boomerang (1992),Comedy|Romance
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
121,"Boys of St. Vincent, The (1992)",Drama
218,Boys on the Side (1995),Comedy|Drama
110,Braveheart (1995),Action|Drama|War
105,"Bridges of Madison County, The (1995)",Drama|Romance
95,Broken Arrow (1996),Action|Adventure|Thriller
144,"Brothers McMullen, The (1995)",Comedy
211,"Browning Version, The (1994)",Drama
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
157,Canadian Bacon (1995),Comedy|War
16,Casino (1995),Crime|Drama
158,Casper (1995),Adventure|Children
220,Castle Freak (1995),Horror
108,Catwalk (1996),Documentary
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
222,Circle of Friends (1995),Drama|Romance
100,City Hall (1996),Drama|Thriller
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
223,Clerks (1994),Comedy
159,Clockers (1995),Crime|Drama|Mystery
39,Clueless (1995),Comedy|Romance
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
161,Crimson Tide (1995),Drama|Thriller|War
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
162,Crumb (1994),Documentary
40,"Cry, the Beloved Country (1995)",Drama
219,"Cure, The (1995)",Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
31,Dangerous Minds (1995),Drama
36,Dead Man Walking (1995),Crime|Drama
42,Dead Presidents (1995),Action|Crime|Drama
229,Death and the Maiden (1994),Drama|Thriller
163,Desperado (1995),Action|Romance|Western
228,Destiny Turns on the Radio (1995),Comedy
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
225,Disclosure (1994),Drama|Thriller
230,Dolores Claiborne (1995),Drama|Thriller
224,Don Juan DeMarco (1995),Comedy|Drama|Romance
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
166,"Doom Generation, The (1995)",Comedy|Crime|Drama
135,Down Periscope (1996),Comedy
12,Dracula: Dead and Loving It (1995),Comedy|Horror
227,Drop Zone (1994),Action|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
87,Dunston Checks In (1996),Children|Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
61,Eye for an Eye (1996),Drama|Thriller
71,Fair Game (1995),Action
5,Father of the Bride Part II (1995),Comedy
168,First Knight (1995),Action|Drama|Romance
125,Flirting With Disaster (1996),Comedy
18,Four Rooms (1995),Comedy
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
68,French Twist (Gazon maudit) (1995),Comedy|Romance
69,Friday (1995),Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
55,Georgia (1995),Drama
21,Get Shorty (1995),Comedy|Crime|Thriller
10,GoldenEye (1995),Action|Adventure|Thriller
3,Grumpier Old Men (1995),Comedy|Romance
170,Hackers (1995),Action|Adventure|Crime|Thriller
104,Happy Gilmore (1996),Comedy
97,"Hate (Haine, La) (1995)",Crime|Drama
6,Heat (1995),Action|Crime|Thriller
99,Heidi Fleiss: Hollywood Madam (1995),Documentary
57,Home for the Holidays (1995),Drama
46,How to Make an American Quilt (1995),Drama|Romance
118,If Lucy Fell (1996),Comedy|Romance
96,In the Bleak Midwinter (1995),Comedy|Drama
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
38,It Takes Two (1995),Children|Comedy
132,Jade (1995),Thriller
171,Jeffrey (1995),Comedy|Drama
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi
2,Jumanji (1995),Adventure|Children|Fantasy
128,Jupiter's Wife (1994),Documentary
79,"Juror, The (1996)",Drama|Thriller
174,Jury Duty (1995),Comedy
72,Kicking and Screaming (1995),Comedy|Drama
175,Kids (1995),Drama
53,Lamerica (1994),Adventure|Drama
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
25,Leaving Las Vegas (1995),Drama|Romance
176,Living in Oblivion (1995),Comedy
177,Lord of Illusions (1995),Horror
178,Love & Human Remains (1993),Comedy|Drama
179,Mad Love (1995),Drama|Romance
180,Mallrats (1995),Comedy|Romance
137,Man of the Year (1995),Documentary
92,Mary Reilly (1996),Drama|Horror|Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
73,"Misérables, Les (1995)",Drama|War
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
44,Mortal Kombat (1995),Action|Adventure|Fantasy
62,Mr. Holland's Opus (1995),Drama
102,Mr. Wrong (1996),Comedy
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
183,Mute Witness (1994),Comedy|Horror|Thriller
184,Nadja (1994),Drama
185,"Net, The (1995)",Action|Crime|Thriller
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
89,Nick of Time (1995),Action|Thriller
77,Nico Icon (1995),Documentary
186,Nine Months (1995),Comedy|Romance
14,Nixon (1995),Drama
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
27,Now and Then (1995),Children|Drama
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
26,Othello (1995),Drama
187,Party Girl (1995),Comedy
28,Persuasion (1995),Drama|Romance
129,Pie in the Sky (1996),Comedy|Romance
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
24,Powder (1995),Drama|Sci-Fi
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
189,Reckless (1995),Comedy|Fantasy
43,Restoration (1995),Drama
41,Richard III (1995),Drama|War
151,Rob Roy (1995),Action|Drama|Romance|War
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
7,Sabrina (1995),Comedy|Romance
190,Safe (1995),Thriller
191,"Scarlet Letter, The (1995)",Drama|Romance
76,Screamers (1995),Action|Sci-Fi|Thriller
17,Sense and Sensibility (1995),Drama|Romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
193,Showgirls (1995),Drama
194,Smoke (1995),Comedy|Drama
195,Something to Talk About (1995),Comedy|Drama|Romance
196,Species (1995),Horror|Sci-Fi
119,"Steal Big, Steal Little (1995)",Comedy
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
9,Sudden Death (1995),Action
111,Taxi Driver (1976),Crime|Drama|Thriller
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
201,Three Wishes (1995),Drama|Fantasy
45,To Die For (1995),Comedy|Drama|Thriller
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
8,Tom and Huck (1995),Adventure|Children
202,Total Eclipse (1995),Drama|Romance
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
64,Two if by Sea (1996),Comedy|Romance
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
204,Under Siege 2: Dark Territory (1995),Action
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
205,Unstrung Heroes (1995),Comedy|Drama
206,Unzipped (1995),Documentary
140,Up Close and Personal (1996),Drama|Romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
207,"Walk in the Clouds, A (1995)",Drama|Romance
208,Waterworld (1995),Action|Adventure|Sci-Fi
49,When Night Is Falling (1995),Drama|Romance
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
209,White Man's Burden (1995),Drama
86,White Squall (1996),Action|Adventure|Drama
210,Wild Bill (1995),Western
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama
